t_ms,x_mm,y_mm,heading_deg,v_mm_s,omega_rad_s,pwmL,pwmR
46,1761.4445052373558,500.0,0.0,595.2353256571228,0.0,2000,2000
47,1762.047296069126,500.0,0.0,602.7908317703428,0.0,2000,2000
48,1762.6574927979648,500.0,0.0,610.1967288386822,0.0,2000,2000
49,1763.2749487772844,500.0,0.0,617.4559793197149,0.0,2000,2000
50,1763.8995202642948,500.0,0.0,624.5714870104244,0.0,2000,2000
51,1764.5310663625035,500.0,0.0,631.546098208762,0.0,2000,2000
52,1765.1694489653557,500.0,0.0,638.3826028522029,0.0,2000,2000
53,1765.8145327009895,500.0,0.0,645.0837356337593,0.0,2000,2000
54,1766.4661848780854,500.0,0.0,651.6521770958932,0.0,2000,2000
55,1767.1242754327882,500.0,0.0,658.0905547027699,0.0,2000,2000
56,1767.7886768766793,500.0,0.0,664.4014438912783,0.0,2000,2000
57,1768.4592642457806,500.0,0.0,670.5873691012403,0.0,2000,2000
58,1769.1359150505657,500.0,0.0,676.6508047852197,0.0,2000,2000
59,1769.8185092269641,500.0,0.0,682.5941763983373,0.0,2000,2000
60,1770.5069290883325,500.0,0.0,688.4198613684841,0.0,2000,2000
61,1771.20105927838,500.0,0.0,694.1301900473252,0.0,2000,2000
62,1771.9007867250225,500.0,0.0,699.7274466424707,0.0,2000,2000
63,1772.6060005951538,500.0,0.0,705.2138701311898,0.0,2000,2000
64,1773.31659225031,500.0,0.0,710.5916551560313,0.0,2000,2000
65,1774.0324552032125,500.0,0.0,715.8629529027098,0.0,2000,2000
66,1774.753485075173,500.0,0.0,721.0298719606091,0.0,2000,2000
67,1775.4795795543394,500.0,0.0,726.0944791662453,0.0,2000,2000
68,1776.2106383547693,500.0,0.0,731.0588004300297,0.0,2000,2000
69,1776.946563176316,500.0,0.0,735.9248215466597,0.0,2000,2000
70,1777.6872576653054,500.0,0.0,740.6944889894631,0.0,2000,2000
71,1778.4326273759943,500.0,0.0,745.3697106890135,0.0,2000,2000
72,1779.1825797327906,500.0,0.0,749.9523567963276,0.0,2000,2000
73,1779.9370239932216,500.0,0.0,754.4442604309514,0.0,2000,2000
74,1780.695871211636,500.0,0.0,758.8472184142314,0.0,2000,2000
75,1781.459034203624,500.0,0.0,763.1629919880678,0.0,2000,2000
76,1782.2264275111434,500.0,0.0,767.3933075194346,0.0,2000,2000
77,1782.9979673683342,500.0,0.0,771.5398571909493,0.0,2000,2000
78,1783.773571668012,500.0,0.0,775.6042996777686,0.0,2000,2000
79,1784.553159928823,500.0,0.0,779.5882608110804,0.0,2000,2000
80,1785.3366532630516,500.0,0.0,783.4933342284584,0.0,2000,2000
81,1786.123974345063,500.0,0.0,787.3210820113377,0.0,2000,2000
82,1786.915047380373,500.0,0.0,791.0730353098689,0.0,2000,2000
83,1787.7097980753283,500.0,0.0,794.7506949553982,0.0,2000,2000
84,1788.5081536073892,500.0,0.0,798.3555320608198,0.0,2000,2000
85,1789.3100425959983,500.0,0.0,801.8889886090409,0.0,2000,2000
86,1790.1153950740281,500.0,0.0,805.3524780297944,0.0,2000,2000
87,1790.924142459793,500.0,0.0,808.7473857650289,0.0,2000,2000
88,1791.7362175296162,500.0,0.0,812.0750698231045,0.0,2000,2000
89,1792.5515543909382,500.0,0.0,815.3368613220143,0.0,2000,2000
90,1793.37008845596,500.0,0.0,818.534065021849,0.0,2000,2000
91,1794.1917564158068,500.0,0.0,821.6679598467184,0.0,2000,2000
92,1795.0164962152032,500.0,0.0,824.7397993963383,0.0,2000,2000
93,1795.8442470276507,500.0,0.0,827.750812447487,0.0,2000,2000
94,1796.6749492310962,500.0,0.0,830.7022034455322,0.0,2000,2000
95,1797.5085443840824,500.0,0.0,833.5951529862256,0.0,2000,2000
96,1798.3449752023703,500.0,0.0,836.4308182879566,0.0,2000,2000
97,1799.1841855360249,500.0,0.0,839.2103336546554,0.0,2000,2000
98,1800.0261203469545,500.0,0.0,841.9348109295294,0.0,2000,2000
99,1800.8707256868943,500.0,0.0,844.6053399398152,0.0,2000,2000
100,1801.717948675827,500.0,0.0,847.2229889327245,0.0,2000,2000
101,1802.56773748083,500.0,0.0,849.788805002757,0.0,2000,2000
102,1803.4200412953405,500.0,0.0,852.3038145105521,0.0,2000,2000
103,1804.274810318834,500.0,0.0,854.7690234934466,0.0,2000,2000
104,1805.131995736902,500.0,0.0,857.1854180679038,0.0,2000,2000
105,1805.991549701726,500.0,0.0,859.5539648239724,0.0,2000,2000
106,1806.8534253129378,500.0,0.0,861.8756112119357,0.0,2000,2000
107,1807.717576598859,500.0,0.0,864.1512859213049,0.0,2000,2000
